SKU_ID,SKU,Brand,SKU_Category,Branch,TotalQty,TotalRevenue,TotalTx,AvgDiscount,NormalPrice
S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,Jakarta,15839,73674000.0,4849,0.07020004124561766,5000.0
S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,Semarang,2806,13011500.0,891,0.0718294051627385,5000.0
S012,Nabati Biskuit Rasa Cokelat,Richoco,Biskuit,Surabaya,8586,39919500.0,2616,0.07037461773700306,5000.0
S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,Bandung,4659,17457200.0,1469,0.06460176991150443,4000.0
S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,Jakarta,16110,60372000.0,5071,0.06476040228751727,4000.0
S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,Semarang,2973,11120000.0,946,0.06617336152219873,4000.0
S013,Nabati Drinko Richeese 150ml,Richeese,Minuman,Surabaya,8794,32969200.0,2751,0.06415848782260997,4000.0
S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,Bandung,2848,10718000.0,895,0.05932960893854749,4000.0
S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,Jakarta,9975,37605600.0,3140,0.058057324840764334,4000.0
S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,Semarang,1818,6831200.0,558,0.05985663082437276,4000.0
S014,Nabati Drinko Richoco 150ml,Richoco,Minuman,Surabaya,5460,20530800.0,1695,0.05994100294985251,4000.0
S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,Bandung,4015,21025950.0,1237,0.050848827809215846,5500.0
S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,Jakarta,13809,72304650.0,4300,0.049511627906976746,5500.0
S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,Semarang,2547,13311650.0,785,0.050955414012738856,5500.0
S015,Richeese Wafer Pink Lava 50g,Richeese,Wafer,Surabaya,7610,39804600.0,2327,0.049806617963042546,5500.0
S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,Bandung,3780,21268800.0,1166,0.060891938250428816,6000.0
S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,Jakarta,13246,74655000.0,4100,0.061317073170731706,6000.0
S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,Semarang,2416,13642800.0,746,0.06233243967828418,6000.0
S016,Richoco Wafer Hazelnut 50g,Richoco,Wafer,Surabaya,7119,40252800.0,2205,0.06058956916099773,6000.0
S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,Bandung,2899,19211500.0,901,0.05294117647058824,7000.0
S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,Jakarta,10308,68225500.0,3194,0.0536944270507201,7000.0
S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,Semarang,1826,12118400.0,565,0.05345132743362832,7000.0
S017,Nextar Choco Delight 40g,Nextar,Kue/Pie,Surabaya,5525,36475600.0,1714,0.05466744457409568,7000.0
S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,Bandung,4474,29530200.0,1397,0.05705082319255548,7000.0
S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,Jakarta,15801,104462400.0,4828,0.05617232808616404,7000.0
S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,Semarang,2892,19096700.0,893,0.057222844344904815,7000.0
S018,Nextar Pineapple Pie 30g,Nextar,Kue/Pie,Surabaya,8477,56150500.0,2616,0.05561926605504587,7000.0
S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,Bandung,3898,10961700.0,1186,0.062141652613827994,3000.0
S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,Jakarta,13458,37890000.0,4153,0.06118468576932338,3000.0
S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,Semarang,2471,6965100.0,754,0.061538461538461535,3000.0
S019,Richeese Siip Jagung Bakar 20g,Richeese,Extruded Snack,Surabaya,7290,20537700.0,2228,0.05996409335727109,3000.0
S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,Bandung,3613,11837350.0,1105,0.0644343891402715,3500.0
S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,Jakarta,12547,41097000.0,3860,0.06419689119170985,3500.0
S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,Semarang,2280,7459900.0,700,0.06385714285714286,3500.0
S020,Richeese Mi Instan Goreng,Richeese,Mi Instan,Surabaya,6825,22433250.0,2083,0.06322611617858857,3500.0
